    -0.621     0.612     0.490
     0.887     0.256     0.385
    -0.635     0.535     0.558
     0.103    -0.811    -0.576
     0.854     0.277     0.441
    -0.708     0.526     0.470
     0.219    -0.688    -0.691
     0.297    -0.755    -0.585
    -0.979    -0.073    -0.191
    -0.551     0.669     0.498
     0.303    -0.712    -0.633
    -0.622     0.616     0.483
    -0.414     0.680     0.605
     0.504    -0.707    -0.496
     0.887     0.256     0.385
     0.338    -0.687    -0.643
     0.108    -0.741    -0.663
    -0.577     0.655     0.488
    -0.588     0.578     0.566
    -0.592     0.638     0.493
    -0.585     0.685     0.435
    -0.679     0.597     0.427
    -0.630     0.615     0.475
    -0.587     0.618     0.523
    -0.568     0.569     0.594
    -0.621     0.641     0.451
    -0.730     0.546     0.411
     0.887     0.256     0.385
     0.388    -0.621    -0.682
     0.900     0.184     0.396
    -0.588     0.627     0.511
     0.887     0.256     0.385
     0.388    -0.710    -0.588
    -0.556     0.647     0.522
     0.887     0.256     0.385
     0.318    -0.660    -0.680
     0.292    -0.728    -0.620
    -0.504     0.690     0.520
     0.165    -0.732    -0.661
    -0.921    -0.084    -0.381
     0.887     0.256     0.385
     0.887     0.256     0.385
    -0.566     0.633     0.528
     0.392    -0.664    -0.637
     0.309    -0.722    -0.619
    -0.591     0.686     0.425
    -0.712     0.592     0.377
     0.922     0.236     0.306
     0.124    -0.746    -0.654
     0.418    -0.680    -0.602
     0.374    -0.752    -0.543
    -0.682     0.598     0.421
     0.275    -0.729    -0.627
     0.212    -0.709    -0.672
     0.372    -0.613    -0.697
     0.294    -0.694    -0.657
    -0.671     0.635     0.382
     0.887     0.256     0.385
     0.229    -0.739    -0.633
     0.257    -0.643    -0.722
     0.146    -0.784    -0.604
     0.289    -0.733    -0.616
     0.410    -0.677    -0.612
     0.258    -0.793    -0.552
    -0.434     0.665     0.607
    -0.566     0.656     0.499
    -0.530     0.680     0.506
     0.219    -0.717    -0.662
    -0.529     0.641     0.557
     0.917     0.196     0.349
    -0.569     0.683     0.459
    -0.512     0.682     0.522
    -0.716     0.619     0.321
     0.887     0.256     0.385
     0.447    -0.711    -0.543
    -0.592     0.671     0.447
     0.249    -0.750    -0.613
     0.884     0.194     0.425
    -0.612     0.558     0.561
    -0.512     0.610     0.605
     0.367    -0.788    -0.495
    -0.563     0.598     0.571
    -0.550     0.675     0.492
     0.335    -0.667    -0.665
    -0.532     0.668     0.521
     0.344    -0.769    -0.539
     0.137    -0.746    -0.652
    -0.575     0.649     0.498
     0.320    -0.768    -0.554
    -0.578     0.657     0.485
    -0.611     0.650     0.452
     0.462    -0.692    -0.554
     0.887     0.256     0.385
     0.367    -0.714    -0.596
     0.326    -0.688    -0.648
    -0.645     0.591     0.483
     0.405    -0.726    -0.556
    -0.506     0.636     0.583
     0.133    -0.670    -0.730
    -0.567     0.585     0.580
     0.171    -0.722    -0.670
     0.140    -0.699    -0.701
     0.416    -0.744    -0.523
